"CountryCode","SeriesCode","DESCRIPTION",
"ABW","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"AFG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"AGO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ALB","SP.POP.TOTL","Data sources : Institute of Statistics, Eurostat",
"AND","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ARE","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ARG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ARM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ATG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"AUS","SP.POP.TOTL","Data sources : Australian Bureau of Statistics",
"AUT","SP.POP.TOTL","Data sources : Eurostat",
"AZE","SP.POP.TOTL","Data sources : Eurostat, State Statistical Committee, United Nations World Population Prospects",
"BDI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BEL","SP.POP.TOTL","Data sources : Eurostat",
"BEN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BFA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BGD","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BGR","SP.POP.TOTL","Data sources : Eurostat",
"BHR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BHS","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BIH","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BLR","SP.POP.TOTL","Data sources : National Statistical Committee of the Republic of Belarus",
"BLZ","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BMU","SP.POP.TOTL","Data sources : Bermuda Government Department of Statistics",
"BOL","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BRA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BRB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BRN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BTN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BWA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CAF","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CAN","SP.POP.TOTL","Data sources : Statistics Canada",
"CHE","SP.POP.TOTL","Data sources : Eurostat",
"CHL","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CHN","SP.POP.TOTL","Data sources : National Bureau of Statistics",
"CIV","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CMR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"COD","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"COG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"COL","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"COM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CPV","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CRI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CUB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CUW","SP.POP.TOTL","Data sources : Central bureau of Statistics",
"CYM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CYP","NY.GDP.PCAP.KD","Data are for areas under the effective control of the Government of the Republic of Cyprus.",
"CYP","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CZE","SP.POP.TOTL","Data sources : Eurostat",
"DEU","SP.POP.TOTL","Data sources : Eurostat",
"DJI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"DMA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"DNK","SP.POP.TOTL","Data sources : Eurostat",
"DOM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"DZA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ECU","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"EGY","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ERI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ESP","SP.POP.TOTL","Data sources : Eurostat",
"EST","SP.POP.TOTL","Data sources : Eurostat",
"ETH","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"FIN","SP.POP.TOTL","Data sources : Eurostat",
"FJI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"FRA","SP.POP.TOTL","Data sources : Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Mayotte, and Réunion.",
"FRO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"FSM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GAB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GBR","SP.POP.TOTL","Data sources : Eurostat",
"GEO","NY.GDP.PCAP.KD","Excludes Abkhazia and South Ossetia.",
"GEO","SP.POP.TOTL","Data sources : GeoStats. GeoStats. Adjusted to mid-year population using geometric mean for the years where mid-year population figures are not available. Excluding Abkhazia and South Ossetia.",
"GHA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GIN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GMB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GNB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GNQ","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GRC","SP.POP.TOTL","Data sources : Eurostat",
"GRD","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GTM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GUY","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"HKG","SP.POP.TOTL","Data sources : Census and Statistics Department",
"HND","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"HRV","SP.POP.TOTL","Data sources : Croatian Bureau of Statistics, Council of Europe",
"HTI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"HUN","SP.POP.TOTL","Data sources : Eurostat",
"IDN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"IMN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"IND","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"IRL","SP.POP.TOTL","Data sources : Eurostat",
"IRN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"IRQ","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ISL","SP.POP.TOTL","Data sources : Eurostat",
"ISR","SP.POP.TOTL","Data sources : Central Bureau of Statistics",
"ITA","SP.POP.TOTL","Data sources : Eurostat",
"JAM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"JOR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"JPN","SP.POP.TOTL","Data sources : Ministry of Internal Affairs and Communications, Statistics Bureau; United Nations Population and Vital Statistics Report",
"KAZ","SP.POP.TOTL","Data sources : Statistical Agency of Kazakhstan, 1979 Census, 1989 Census, United Nations World Population Prospects",
"KEN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"KGZ","SP.POP.TOTL","Data sources : National Statistical Committee, United Nations World Population Prospects",
"KHM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"KIR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"KNA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"KOR","SP.POP.TOTL","Data sources : Korean Statistical Information Service",
"KWT","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"LAO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"LBN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"LBR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"LBY","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"LCA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"LIE","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"LKA","SP.POP.TOTL","Data sources : Registrar General's Department, Department of Census and Statistics",
"LSO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"LTU","SP.POP.TOTL","Data sources : Eurostat",
"LUX","SP.POP.TOTL","Data sources : Eurostat",
"LVA","SP.POP.TOTL","Data sources : Eurostat",
"MAC","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MAR","NY.GDP.PCAP.KD","Includes Former Spanish Sahara.",
"MAR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MCO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MDA","NY.GDP.PCAP.KD","Excludes Transnistria.",
"MDA","SP.POP.TOTL","Data sources : National Bureau of Statistics. Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects' growth rates of whole Moldova.",
"MDG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MDV","SP.POP.TOTL","Data sources : For 1960-1989, United Nations World Population Prospects. For 1990 onwards, 1990, 1995, 2000, 2006, 2014 censuses, and data on expatriate employment from Maldives National Bureau of Statistics. The census data are adjusted for mid-year and for foreign population.",
"MEX","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MHL","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MKD","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MLI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MLT","SP.POP.TOTL","Data sources : Eurostat",
"MMR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MNE","SP.POP.TOTL","Data sources : For years after 2000, Statistical Office of Montenegro. For years 1960-1999, growth rates of United Nations World Population Prospects were used to estimate backwards.",
"MNG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MOZ","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MRT","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MUS","SP.POP.TOTL","Data sources : Statistics Mauritius, United Nations World Population Prospects",
"MWI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MYS","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"NAM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"NCL","SP.POP.TOTL","Data sources : Institute of Statistics and Economic Studies",
"NER","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"NGA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"NIC","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"NLD","SP.POP.TOTL","Data sources : Eurostat",
"NOR","SP.POP.TOTL","Data sources : Eurostat",
"NPL","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"NZL","SP.POP.TOTL","Data sources : Statistics New Zealand",
"OMN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"PAK","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"PAN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"PER","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"PHL","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"PLW","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"PNG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"POL","SP.POP.TOTL","Data sources : Eurostat",
"PRI","SP.POP.TOTL","Data sources : U.S. Census Bureau, 1990 Census",
"PRK","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"PRT","SP.POP.TOTL","Data sources : Eurostat",
"PRY","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"PSE","SP.POP.TOTL","Data sources : World Bank estimates based on data from Palestinian Central Bureau of Statistics, excluding E. Jerusalem.",
"PYF","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"QAT","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ROU","SP.POP.TOTL","Data sources : Eurostat",
"RUS","SP.POP.TOTL","Data sources : Russian Federation Federal State Statistics Service (its January 1st populations were adjusted to mid-year populations by using geometric mean), 1979 Census, 1989 Census.",
"RWA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SAU","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SDN","SP.POP.TOTL","Data sources : United Nations World Population Prospects. Estimates are for Sudan excluding South Sudan.",
"SEN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SGP","SP.POP.TOTL","Data sources : Department of Statistics Singapore",
"SLB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SLE","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SLV","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SMR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SOM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SRB","SP.POP.TOTL","Data sources : Statistical Office of the Republic of Serbia, Eurostat, TransMONEE, Council of Europe. Note : Excluding Kosovo.",
"SSD","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"STP","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SUR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SVK","SP.POP.TOTL","Data sources : Eurostat",
"SVN","SP.POP.TOTL","Data sources : Eurostat",
"SWE","SP.POP.TOTL","Data sources : Eurostat",
"SWZ","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SYC","SP.POP.TOTL","Data sources : National Bureau of Statistics",
"SYR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TCD","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TGO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"THA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TJK","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TKM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TLS","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TON","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TTO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TUN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TUR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TUV","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TWN","SP.POP.TOTL","Data sources : National Statistics Republic of China (Taiwan)",
"TZA","NY.GDP.PCAP.KD","Covers mainland Tanzania only.",
"TZA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"UGA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"UKR","SP.POP.TOTL","Data sources : State Statistics Committee of Ukraine, United Nations World Population Prospects, Council of Europe, United Nations Population and Vital Statistics Report",
"URY","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"USA","SP.POP.TOTL","Data sources : U.S. Census Bureau",
"UZB","SP.POP.TOTL","Data sources : State Committee of the Republic of Uzbekistan on Statistics, United Nations World Population Prospects",
"VCT","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"VEN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"VNM","SP.POP.TOTL","Data sources : General Statistics Office of Vietnam",
"VUT","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"WSM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"XKX","SP.POP.TOTL","Data sources : Kosovo Agency of Statistics, U.S. Census Bureau",
"YEM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ZAF","SP.POP.TOTL","Data sources : Statistics South Africa, United Nations World Population Prospects",
"ZMB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ZWE","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
